[ 0.02623958 -0.02086762  0.04271628],[-0.04014273  0.02021224  0.06794235],[0.00176047 0.01179584 0.04375072],[0.05110623 0.04142287 0.11102815],[ 0.07972655 -0.04683827  0.08576709],[-0.03076036 -0.00702748  0.10151656],[-0.04813376  0.05226838  0.09626085],[0.03756197 0.09137468 0.16578858],[-0.04581325  0.15870329  0.21504615],[-0.01472063  0.17301178  0.28279353],[0.04450787 0.18755524 0.33351744],[0.11778465 0.15985209 0.32751812],[0.07094043 0.09519717 0.24030301],[6.0829689e-13 8.4785044e-13 5.6688400e-13],[0.01842759 0.06456579 0.2202866 ],[-0.06759688  0.08744149  0.17428245],[-0.06242149  0.02653754  0.21047207],[-0.04245138  0.02838409  0.30754959],[-0.12891207  0.09168687  0.30015847],[-0.16965205  0.12163062  0.21701931]
[-0.9999995  0.9999957 -1.       ],[-1.  1. -1.],[-1.  1. -1.],[-1.  1. -1.],[-1.          1.         -0.97955527],[-1.          1.         -0.96326163],[-1.          1.         -0.93730749],[-1.  1. -1.],[-1.          1.         -0.93724746],[-1.  1. -1.],[-1.  1. -1.],[-1.          1.         -0.95734361],[-1.  1. -1.],[-1.  1. -1.],[-1.  1. -1.],[-1.          1.         -0.97280654],[-1.  1. -1.],[-1.          1.         -0.94719667],[-1.          1.         -0.86993791],[-1.  1. -1.]
[-1.          1.         -0.87881922],[-1.  1. -1.],[-1.  1. -1.],[-1.          1.         -0.84885358],[-1.  1. -1.],[-1.          1.         -0.86778273],[-1.          1.         -0.83260023],[-1.         1.        -0.8686765],[-1.  1. -1.],[-1.          1.         -0.77789062],[-1.          1.         -0.72501862],[-1.          1.         -0.62638488],[-1.          1.         -0.62770005],[-1.  1. -1.],[-1.          1.         -0.59475384],[-1.  1. -1.],[-1.          1.         -0.63060491],[-1.          1.         -0.66120555],[-1.  1. -1.],[-1.          1.         -0.66041495]
[-1.  1. -1.],[-1.          1.         -0.61845359],[-1.  1. -1.],[-1.          1.         -0.62505589],[-1.          1.         -0.58548443],[-1.          1.         -0.53685113],[-1.          1.         -0.55355933],[-1.          1.         -0.57416123],[-1.  1. -1.],[-1.  1. -1.],[-1.  1. -1.],[-1.          1.         -0.58068531],[-1.          1.         -0.40227556],[-1.          1.         -0.44120638],[-1.          1.         -0.42128666],[-1.  1. -1.],[-1.          1.         -0.47425859],[-1.          1.         -0.37584598],[-1.          1.         -0.32489481],[-1.          1.         -0.32287966]
[-1.        1.       -0.277563],[-1.         1.        -0.3361626],[-1.          1.         -0.38728278],[-1.         1.        -0.4954984],[-1.          1.         -0.51936654],[-1.          1.         -0.60167197],[-1.  1. -1.],[-1.  1. -1.],[-1.  1. -1.],[-1.  1. -1.],[-1.  1. -1.],[-1.  1. -1.],[-1.  1. -1.],[-1.          1.         -0.48623065],[-1.          1.         -0.42232977],[-1.          1.         -0.42768585],[-1.          1.         -0.38741878],[-1.  1. -1.],[-1.          1.         -0.35153348],[-1.  1. -1.]
[-1.  1. -1.],[-1.  1. -1.],[-1.  1. -1.],[-1.          1.         -0.36836955],[-0.98759032  1.         -0.3648871 ],[-0.89165882  0.98915253 -0.30047807],[-1.  1. -1.],[-1.  1. -1.],[-1.          1.         -0.30637278],[-1.          1.         -0.37909712],[-1.  1. -1.],[-1.  1. -1.],[-1.  1. -1.],[-1.          1.         -0.44603051],[-1.  1. -1.],[-1.  1. -1.],[-1.  1. -1.],[-1.         1.        -0.4266929],[-1.  1. -1.],[-1.          1.         -0.49402463]
[-0.94679473  1.         -0.57673913],[-0.99189197  1.         -0.65039084],[-1.  1. -1.],[-0.96935887  1.         -0.63744083],[-1.  1. -1.],[-1.  1. -1.],[-1.  1. -1.],[-1.  1. -1.],[-1.  1. -1.],[-0.97186086  1.         -0.66053772],[-0.964172    1.         -0.60106149],[-0.89325226  1.         -0.55633768],[-1.  1. -1.],[-0.88270831  0.94218471 -0.53221964],[-0.92455767  0.91332619 -0.55599019],[-1.  1. -1.],[-0.87774385  0.96714197 -0.59859815],[-0.7975307   0.99049848 -0.49668941],[-1.  1. -1.],[-1.  1. -1.]
[-0.83766254  0.92033402 -0.44140923],[-0.84860438  0.92156962 -0.43983721],[-1.  1. -1.],[-1.  1. -1.],[-1.  1. -1.],[-1.  1. -1.],[-1.  1. -1.],[-0.78943794  0.90006733 -0.45138658],[-0.76112384  0.89599418 -0.40823163],[-1.  1. -1.],[-0.59412935  0.86820814 -0.42060294],[-0.58179862  0.90283144 -0.45423253],[-0.64438644  0.91560014 -0.40570566],[-0.70973584  0.90593862 -0.41778415],[-0.77137889  0.89347635 -0.39137564],[-1.  1. -1.],[-1.  1. -1.],[-1.  1. -1.],[-0.79362711  0.91876132 -0.34912657],[-1.  1. -1.]
[-1.  1. -1.],[-1.  1. -1.],[-1.  1. -1.],[-0.94678905  0.81774767 -0.36431606],[-0.94456903  0.8411715  -0.34288767],[-1.  1. -1.],[-1.  1. -1.],[-0.9396278   0.86367543 -0.31438142],[-0.90134575  0.86263364 -0.35760764],[-1.  1. -1.],[-0.89445903  0.77952738 -0.38721199],[-0.88719652  0.79160954 -0.44845511],[-1.  1. -1.],[-0.98219633  0.71563494 -0.45358835],[-1.  1. -1.],[-1.  1. -1.],[-1.  1. -1.],[-1.  1. -1.],[-1.  1. -1.],[-1.          0.73882629 -0.46709498]
[-1.  1. -1.],[-1.  1. -1.],[-0.94804249  0.77729158 -0.48082151],[-1.  1. -1.],[-1.  1. -1.],[-1.  1. -1.],[-1.  1. -1.],[-1.  1. -1.],[-1.  1. -1.],[-1.  1. -1.],[-1.  1. -1.],[-0.95064681  0.69701568 -0.45660023],[-0.93158685  0.70205336 -0.41009498],[-0.89282789  0.70077325 -0.43611221],[-1.  1. -1.],[-0.90439055  0.64410879 -0.42334772],[-1.  1. -1.],[-0.88742307  0.66899645 -0.4484242 ],[-1.  1. -1.],[-0.79093829  0.67601815 -0.52946406]
[-1.  1. -1.],[-1.  1. -1.],[-0.80942967  0.64780743 -0.55515223],[-0.80719917  0.64144633 -0.5490304 ],[-0.76130136  0.55057424 -0.55270372],[-0.80089252  0.58717674 -0.64446632],[-1.  1. -1.],[-1.  1. -1.],[-1.  1. -1.],[-0.81911121  0.59182383 -0.71167485],[-0.96837401  0.62156952 -0.73372324],[-0.98199948  0.58595611 -0.7398002 ],[-0.9815516   0.98958683 -0.99989104],[-0.9815515   0.9895868  -0.99989104],[-0.9048948   0.58184929 -0.76592617],[-0.91348747  0.63281394 -0.6922827 ],[-0.9815516  0.9895868 -0.9998909],[-1.          0.6508172  -0.69441236],[-0.9815516   0.98958683 -0.99989104],[-0.9815516   0.98958683 -0.9998909 ]
[-1.          0.68928686 -0.67045435],[-1.          0.71584816 -0.68711601],[-1.  1. -1.],[-1.  1. -1.],[-1.  1. -1.],[-1.  1. -1.],[-1.  1. -1.],[-1.          0.73364864 -0.65215143],[-1.  1. -1.],[-1.  1. -1.],[-1.  1. -1.],[-1.  1. -1.],[-1.  1. -1.],[-1.  1. -1.],[-1.  1. -1.],[-1.          0.80620512 -0.64675592],[-1.  1. -1.],[-1.  1. -1.],[-1.          0.84867486 -0.64781969],[-1.          0.78507713 -0.60354253]
[-1.          0.81652542 -0.65466555],[-1.          0.86667958 -0.58423025],[-1.          0.90373784 -0.55794172],[-1.  1. -1.],[-1.          0.98107207 -0.62192991],[-1.  1. -1.],[-1.          0.96480931 -0.55095971],[-1.          1.         -0.64001253],[-1.  1. -1.],[-1.  1. -1.],[-1.  1. -1.],[-1.  1. -1.],[-1.          1.         -0.68313784],[-1.  1. -1.],[-1.  1. -1.],[-1.          1.         -0.68018687],[-1.          0.98136501 -0.61080234],[-1.  1. -1.],[-1.          0.95885857 -0.58609458],[-1.  1. -1.]
[-1.  1. -1.],[-1.  1. -1.],[-1.  1. -1.],[-1.  1. -1.],[-1.          1.         -0.54385463],[-1.  1. -1.],[-1.  1. -1.],[-1.  1. -1.],[-1.  1. -1.],[-1.  1. -1.],[-1.          1.         -0.66828417],[-1.  1. -1.],[-1.  1. -1.],[-1.  1. -1.],[-1.         0.9917827 -0.7208499],[-1.  1. -1.],[-0.99779429  0.91147509 -0.61934341],[-1.  1. -1.],[-0.99873688  0.93278118 -0.63202055],[-0.93112139  0.87768964 -0.63116703]
[-0.86894674  0.82060321 -0.63365238],[-1.  1. -1.],[-0.848994    0.7926313  -0.75293286],[-0.79841965  0.78683337 -0.7306425 ],[-0.85666072  0.78512311 -0.65128164],[-1.  1. -1.],[-1.  1. -1.],[-1.  1. -1.],[-0.82258401  0.74286526 -0.62308659],[-1.  1. -1.],[-0.80386164  0.75732225 -0.60424305],[-0.8607773   0.74976629 -0.62769535],[-0.96177166  0.64609884 -0.61194159],[-1.  1. -1.],[-1.  1. -1.],[-0.92146103  0.66799699 -0.70218822],[-0.99999875  1.         -1.        ],[-0.99618566  0.9981238  -0.9999908 ],[-0.88542268  0.74256263 -0.63057872],[-0.85561552  0.72727843 -0.5955393 ]
[-1.  1. -1.],[-1.  1. -1.],[-1.  1. -1.],[-1.  1. -1.],[-1.  1. -1.],[-1.  1. -1.],[-1.  1. -1.],[-1.  1. -1.],[-0.8216994   0.86239477 -0.54123619],[-1.  1. -1.],[-0.79375816  0.82316714 -0.57261551],[-1.  1. -1.],[-1.  1. -1.],[-1.  1. -1.],[-0.82951106  0.79562901 -0.59735314],[-1.  1. -1.],[-0.86031821  0.76466176 -0.60332658],[-0.87476032  0.68455632 -0.57996409],[-1.  1. -1.],[-1.  1. -1.]
[-1.  1. -1.],[-0.86615708  0.65336677 -0.57489179],[-1.  1. -1.],[-1.  1. -1.],[-0.8368303   0.76177908 -0.59879478],[-1.  1. -1.],[-1.  1. -1.],[-0.78951957  0.81985839 -0.56285985],[-0.71901905  0.85874008 -0.49629387],[-0.68450659  0.91139355 -0.5300337 ],[-0.99193907  0.9955274  -0.99994785],[-0.9919391   0.99552727 -0.99994785],[-0.9919397   0.99552774 -0.9999477 ],[-0.99193907  0.9955274  -0.99994785],[-0.66539132  0.84271318 -0.48655056],[-0.74052321  0.92591082 -0.45712672],[-0.991939    0.9955274  -0.99994785],[-0.70548461  0.93215484 -0.43276266],[-0.68350864  0.9043901  -0.44255903],[-0.68852216  0.84722635 -0.40508926]
[-1.  1. -1.],[-1.  1. -1.],[-1.  1. -1.],[-1.  1. -1.],[-1.  1. -1.],[-1.  1. -1.],[-0.71943018  0.89844705 -0.45707935],[-0.6509105   0.81431795 -0.54221653],[-1.  1. -1.],[-1.  1. -1.],[-1.  1. -1.],[-0.74187131  0.80548228 -0.58054517],[-0.82536724  0.79478183 -0.58098152],[-1.  1. -1.],[-1.  1. -1.],[-1.  1. -1.],[-1.  1. -1.],[-1.  1. -1.],[-1.  1. -1.],[-1.  1. -1.]
[-1.  1. -1.],[-1.  1. -1.],[-1.  1. -1.],[-1.  1. -1.],[-1.  1. -1.],[-0.83761781  0.81293647 -0.67811808],[-1.  1. -1.],[-0.83182403  0.86716199 -0.64511142],[-1.  1. -1.],[-1.  1. -1.],[-1.  1. -1.],[-1.  1. -1.],[-0.8506514   0.9030331  -0.73889306],[-1.  1. -1.],[-1.  1. -1.],[-0.88576278  0.89671052 -0.73063286],[-1.  1. -1.],[-1.  1. -1.],[-0.91507104  0.90663018 -0.71775988],[-1.  1. -1.]
[-1.  1. -1.],[-1.  1. -1.],[-0.95074664  0.89652678 -0.62964302],[-1.          0.90162948 -0.55272757],[-1.  1. -1.],[-1.  1. -1.],[-1.          0.88972597 -0.71079493],[-1.  1. -1.],[-1.  1. -1.],[-1.  1. -1.],[-1.  1. -1.],[-1.  1. -1.],[-1.  1. -1.],[-1.          0.94793099 -0.74629013],[-1.  1. -1.],[-1.  1. -1.],[-1.          0.88342885 -0.76574048],[-1.  1. -1.],[-1.  1. -1.],[-1.  1. -1.]
[-1.  1. -1.],[-1.  1. -1.],[-1.          0.90004969 -0.79852112],[-0.98485291  0.88135088 -0.83689135],[-1.          0.84183799 -0.79007617],[-1.  1. -1.],[-1.  1. -1.],[-1.  1. -1.],[-1.  1. -1.],[-1.  1. -1.],[-1.  1. -1.],[-1.  1. -1.],[-1.  1. -1.],[-1.  1. -1.],[-1.          0.88628872 -0.78945773],[-1.  1. -1.],[-1.  1. -1.],[-1.  1. -1.],[-1.  1. -1.],[-1.  1. -1.]
[-1.  1. -1.],[-1.  1. -1.],[-1.  1. -1.],[-1.  1. -1.],[-1.          0.84252673 -0.75617048],[-1.  1. -1.],[-1.  1. -1.],[-1.          0.82143735 -0.74821795],[-1.  1. -1.],[-1.          0.82733165 -0.7433955 ],[-1.  1. -1.],[-1.          0.85763474 -0.68264562],[-1.  1. -1.],[-1.  1. -1.],[-1.  1. -1.],[-1.          0.88408937 -0.71704736],[-1.  1. -1.],[-1.  1. -1.],[-1.  1. -1.],[-1.  1. -1.]
[-1.          0.76477589 -0.78642371],[-1.  1. -1.],[-1.  1. -1.],[-1.  1. -1.],[-1.  1. -1.],[-0.97848515  0.8163002  -0.79291511],[-1.  1. -1.],[-1.  1. -1.],[-1.  1. -1.],[-0.93692818  0.80526014 -0.84464579],[-1.  1. -1.],[-1.  1. -1.],[-1.  1. -1.],[-0.91420906  0.77643138 -0.87827985],[-1.  1. -1.],[-1.  1. -1.],[-1.  1. -1.],[-1.  1. -1.],[-1.  1. -1.],[-1.  1. -1.]
[-1.  1. -1.],[-1.  1. -1.],[-1.  1. -1.],[-1.  1. -1.],[-1.  1. -1.],[-1.  1. -1.],[-1.  1. -1.],[-1.  1. -1.],[-1.  1. -1.],[-1.  1. -1.],[-1.  1. -1.],[-1.  1. -1.],[-1.  1. -1.],[-0.84199559  0.83428029 -0.81379041],[-0.86730034  0.80029027 -0.79360517],[-1.  1. -1.],[-1.  1. -1.],[-1.  1. -1.],[-1.  1. -1.],[-1.  1. -1.]
[-1.  1. -1.],[-1.  1. -1.],[-1.  1. -1.],[-0.97697567  0.80828294 -0.76662361],[-1.  1. -1.],[-1.  1. -1.],[-0.93290818  0.83218859 -0.73523827],[-1.          0.85199554 -0.78006631],[-1.  1. -1.],[-1.  1. -1.],[-1.  1. -1.],[-1.  1. -1.],[-1.  1. -1.],[-1.  1. -1.],[-1.  1. -1.],[-1.  1. -1.],[-1.  1. -1.],[-1.  1. -1.],[-1.  1. -1.],[-1.  1. -1.]
[-1.  1. -1.],[-1.          0.89559102 -0.76508253],[-1.  1. -1.],[-1.          0.81496118 -0.76304337],[-0.99430188  0.83136594 -0.79891961],[-0.92034364  0.88335423 -0.89705453],[-0.83420619  0.92202365 -0.87940349],[-1.  1. -1.],[-0.80412892  0.90929146 -0.83017866],[-0.87459776  0.91630315 -0.76525274],[-0.9999955  0.9999985 -1.       ],[-0.9999947  0.9999981 -1.       ],[-0.8853825   0.83287639 -0.77871483],[-0.8483795   0.79315091 -0.7442091 ],[-0.86213854  0.76549762 -0.76365738],[-0.99998295  0.9999939  -1.        ],[-0.89306865  0.76123315 -0.82069624],[-0.99994856  0.99997956 -1.        ],[-0.9999313   0.99997216 -1.        ],[-0.9999991  1.        -1.       ]
[-1.  1. -1.],[-0.81853091  0.78312633 -0.67022442],[-1.  1. -1.],[-1.  1. -1.],[-0.76269335  0.72641636 -0.62464767],[-0.79001878  0.71245119 -0.65887075],[-1.  1. -1.],[-1.  1. -1.],[-1.  1. -1.],[-0.9970235  0.9983062 -0.9999784],[-0.74630091  0.74335395 -0.69755614],[-0.9967476  0.9981349 -0.9999748],[-0.99674785  0.9981349  -0.99997497],[-0.99674773  0.9981349  -0.99997485],[-0.76599159  0.75480065 -0.63762555],[-0.9999103  0.9999623 -1.       ],[-0.73229703  0.75452145 -0.62984555],[-0.9972759   0.99846166 -0.9999816 ],[-0.99674773  0.998135   -0.9999749 ],[-0.77231341  0.79237807 -0.57584203]
[-1.  1. -1.],[-1.  1. -1.],[-1.  1. -1.],[-1.  1. -1.],[-1.  1. -1.],[-1.  1. -1.],[-0.73846209  0.79064524 -0.48757635],[-1.  1. -1.],[-1.  1. -1.],[-1.  1. -1.],[-1.  1. -1.],[-1.  1. -1.],[-0.6620289   0.79385736 -0.48756501],[-1.  1. -1.],[-1.  1. -1.],[-1.  1. -1.],[-1.  1. -1.],[-1.  1. -1.],[-1.  1. -1.],[-1.  1. -1.]
[-0.66876089  0.74943982 -0.50486331],[-0.64572605  0.85978507 -0.50461336],[-0.9970818  0.9983243 -0.9999769],[-0.9970817  0.9983243 -0.999977 ],[-0.9970817  0.9983243 -0.9999769],[-0.9970818   0.99832433 -0.99997705],[-0.67110021  0.85086581 -0.40044859],[-0.9970818  0.9983243 -0.9999769],[-0.9970817  0.9983243 -0.9999769],[-0.9970817  0.9983243 -0.9999769],[-0.75122412  0.94219009 -0.45520887],[-0.9970817  0.9983243 -0.9999769],[-0.9970817  0.9983243 -0.9999769],[-0.9970818   0.99832433 -0.9999768 ],[-0.9970817  0.9983243 -0.9999769],[-0.9970817  0.9983244 -0.999977 ],[-0.9970817  0.9983243 -0.9999769],[-0.76163061  0.9150513  -0.4092244 ],[-0.9970817  0.9983243 -0.9999769],[-0.9970817  0.9983243 -0.999977 ]
[-0.74789545  0.91981802 -0.47868261],[-1.  1. -1.],[-1.  1. -1.],[-1.  1. -1.],[-1.  1. -1.],[-1.  1. -1.],[-1.  1. -1.],[-0.73291811  0.94667603 -0.45212031],[-1.  1. -1.],[-1.  1. -1.],[-1.  1. -1.],[-1.  1. -1.],[-1.  1. -1.],[-1.  1. -1.],[-1.  1. -1.],[-1.  1. -1.],[-1.  1. -1.],[-0.68571621  0.95992242 -0.45041412],[-1.  1. -1.],[-1.  1. -1.]
[-1.  1. -1.],[-1.  1. -1.],[-1.  1. -1.],[-1.  1. -1.],[-1.  1. -1.],[-0.69397418  0.96247222 -0.39758617],[-1.  1. -1.],[-1.  1. -1.],[-1.  1. -1.],[-1.  1. -1.],[-1.  1. -1.],[-1.  1. -1.],[-1.  1. -1.],[-1.  1. -1.],[-1.  1. -1.],[-1.  1. -1.],[-1.  1. -1.],[-1.  1. -1.],[-0.66782747  0.96717266 -0.46918928],[-1.  1. -1.]
[-1.  1. -1.],[-1.  1. -1.],[-1.  1. -1.],[-1.  1. -1.],[-0.66055633  0.94765943 -0.41651075],[-1.  1. -1.],[-1.  1. -1.],[-1.  1. -1.],[-0.61712027  0.86866966 -0.38713947],[-1.  1. -1.],[-1.  1. -1.],[-0.57332318  0.85874596 -0.36831068],[-1.  1. -1.],[-1.  1. -1.],[-1.  1. -1.],[-1.  1. -1.],[-0.57215953  0.84181366 -0.37084931],[-1.  1. -1.],[-1.  1. -1.],[-0.71738818  0.84943585 -0.36812898]
