Warning: Gym version v0.24.0 has a number of critical issues with `gym.make` such that the `reset` and `step` functions are called before returning the environment. It is recommend to downgrading to v0.23.1 or upgrading to v0.25.1
2024-02-13 11:44:03.474303: I tensorflow/core/platform/cpu_feature_guard.cc:151] This TensorFlow binary is optimized with oneAPI Deep Neural Network Library (oneDNN) to use the following CPU instructions in performance-critical operations:  AVX2 AVX512F FMA
To enable them in other operations, rebuild TensorFlow with the appropriate compiler flags.
2024-02-13 11:44:08.675258: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1525] Created device /job:localhost/replica:0/task:0/device:GPU:0 with 30977 MB memory:  -> device: 0, name: Tesla V100-SXM2-32GB, pci bus id: 0000:18:00.0, compute capability: 7.0
2024-02-13 11:44:17.836456: I tensorflow/stream_executor/cuda/cuda_dnn.cc:368] Loaded cuDNN version 8200
==== Experiment:  DRQN_PSO_F19
==== Args used:
Namespace(network_type='DRQN', algorithm='PSO', func_num=19, num_episodes=10, num_swarm_obs_intervals=10, swarm_obs_interval_length=60, train=True, steps=20000)
==== Remaining (Unknown) Args:
[]
>> Training mode. Number of Steps to Train: 20000
>> Evaluation Interval: 500
>> Logging Interval: 200
>> Number of Episodes per Iteration: 10
=== Function Evaluation Budget: 30 dimensions x 10 000/dim = 300000 Function Evaluations
=== Observations Per Episode: 10 Number of Swarm Observation Intervals per Episode x 60 Number of Observations in each Interval  = 600  Observations per Episode
=== Function Evaluation Allocation: 50 Swarm Size (# Particles) x 10 Episodes x 600 Observations per Episode  = 300000 Function Evaluations

num_actions: 5
Episode#79 Reward:-5.137713215313852
Episode#80 Reward:-11.066776007413864
Episode#81 Reward:-10.07129834080115
Episode#82 Reward:-9.3555032517761
Episode#83 Reward:-8.368516445159912
Episode#84 Reward:-10.876665683463216
Episode#85 Reward:-5.739450931549072
Episode#86 Reward:-7.837514877319336
Episode#87 Reward:-4.514959061983973
Episode#88 Reward:-4.979917140677571
Episode#89 Reward:-4.933631420135498
Episode#90 Reward:-2.743903009686619
Episode#91 Reward:-4.893695297185332
Episode#92 Reward:-2.637036337517202
Episode#93 Reward:-4.86256567388773
Episode#94 Reward:-5.7336631417274475
Episode#95 Reward:-2.9151317477226257
Episode#96 Reward:-4.098741825670004
Episode#97 Reward:-3.055339705199003
Episode#98 Reward:-3.098797658458352
Episode#99 Reward:-3.4095776776375715
Episode#100 Reward:-3.3355272114276886
Episode#101 Reward:-4.098708517849445
Episode#102 Reward:-3.6530307065695524
Episode#103 Reward:-3.7115858159959316
Episode#104 Reward:-4.055076576769352
Episode#105 Reward:-4.591283164038032
Episode#106 Reward:-3.1384506672620773
Episode#107 Reward:-7.081622362136841
Episode#108 Reward:-5.167706308129709
Episode#109 Reward:-3.9414794370532036
Episode#110 Reward:-3.370638132095337
Episode#111 Reward:-5.664846395950008
Episode#112 Reward:-5.0747014242224395
Episode#113 Reward:-4.8055338859558105
Episode#114 Reward:-4.394247525837272
Episode#115 Reward:-2.710026327520609
Episode#116 Reward:-3.425901534035802
Episode#117 Reward:-3.7765226289629936
Episode#118 Reward:-3.94107349216938
Episode#119 Reward:-4.125400101300329
Episode#120 Reward:-3.2994875013828278
Episode#121 Reward:-3.866169363260269
Episode#122 Reward:-7.941631399095058
Episode#123 Reward:-3.173299740485163
Episode#124 Reward:-3.4388593449548353
Episode#125 Reward:-5.254123738966882
Episode#126 Reward:-7.7527744602411985
Episode#127 Reward:-4.813952668569982
Episode#128 Reward:-5.116591283935122
Episode#129 Reward:-4.280292477458715
Episode#130 Reward:-3.316628120839596
Episode#131 Reward:-4.285667206160724
Episode#132 Reward:-3.116468846797943
Episode#133 Reward:-4.034005828201771
Episode#134 Reward:-3.053790681064129
Episode#135 Reward:-3.434645175933838
Episode#136 Reward:-4.2204513512551785
Episode#137 Reward:-3.185028298292309
Episode#138 Reward:-2.893643297255039
Episode#139 Reward:-4.375641167163849
Episode#140 Reward:-4.227774009574205
Episode#141 Reward:-3.9945552833378315
Episode#142 Reward:-3.2339580623665825
Episode#143 Reward:-3.4482338428497314
Episode#144 Reward:-4.045209288597107
Episode#145 Reward:-3.186773106455803
Episode#146 Reward:-1.8856916762888432
Episode#147 Reward:-4.197495400905609
Episode#148 Reward:-3.336242739111185
Episode#149 Reward:-2.761911556124687
Episode#150 Reward:-3.678050762944622
Episode#151 Reward:-3.6607198733836412
Episode#152 Reward:-4.6065901929396205
Episode#153 Reward:-4.054895848035812
Episode#154 Reward:-3.7696902751922607
Episode#155 Reward:-2.8613056242465973
Episode#156 Reward:-4.6657754853367805
Episode#157 Reward:-3.337797611951828
Episode#158 Reward:-2.6613251842791215
Episode#159 Reward:-3.500135033544211
Episode#160 Reward:-4.343857170082629
Episode#161 Reward:-2.6662533059716225
Episode#162 Reward:-2.655479986453429
Episode#163 Reward:-5.446798920631409
Episode#164 Reward:-3.441009567002766
Episode#165 Reward:-2.987033613229869
Episode#166 Reward:-3.8463262676959857
Episode#167 Reward:-5.547787189483643
Episode#168 Reward:-4.916085720062256
Episode#169 Reward:-3.613223776803352
Episode#170 Reward:-2.603560969233513
Episode#171 Reward:-3.0244005918502808
Episode#172 Reward:-3.49380391696468
Episode#173 Reward:-10.617833986209234
Episode#174 Reward:-3.3312294483184814
Episode#175 Reward:-4.223360958509147
Episode#176 Reward:-3.7179598277434707
Episode#177 Reward:-3.232719915919006
Episode#178 Reward:-2.620749346911907
Episode#179 Reward:-2.5697774256404955
Episode#180 Reward:-3.6284942626953125
Episode#181 Reward:-2.1794610023498535
Episode#182 Reward:-2.55176469264552
Episode#183 Reward:-6.334348857587656
Episode#184 Reward:-4.304793819785118
Episode#185 Reward:-2.07796248793602
Episode#186 Reward:-2.68575119972229
Episode#187 Reward:-4.439273286378011
Episode#188 Reward:-2.856891615316272
Episode#189 Reward:-1.9326494905399159
Episode#190 Reward:-3.635249227285385
Episode#191 Reward:-3.763327121734619
Episode#192 Reward:-4.251535803079605
Episode#193 Reward:-2.1604869477450848
Episode#194 Reward:-6.133919843821786
Episode#195 Reward:-4.975826773090887
Episode#196 Reward:-4.2517900944221765
Episode#197 Reward:-3.225139319896698
Episode#198 Reward:-3.326525568962097
Episode#199 Reward:-3.1409774255007505
step = 200: loss = 0.0009692793828435242
Episode#200 Reward:-4.369525372982025
Episode#201 Reward:-3.0511827245354652
Episode#202 Reward:-4.107068121433258
Episode#203 Reward:-3.2724440237507224
Episode#204 Reward:-2.767868859693408
Episode#205 Reward:-2.678740307688713
Episode#206 Reward:-3.930554509162903
Episode#207 Reward:-3.6998552195727825
Episode#208 Reward:-2.1786341536790133
Episode#209 Reward:-2.7744016153155826
Episode#210 Reward:-4.9283464550971985
Episode#211 Reward:-3.1448114812374115
Episode#212 Reward:-3.5668408507481217
Episode#213 Reward:-4.129898085724562
Episode#214 Reward:-2.4762078888888936
Episode#215 Reward:-3.5646430966444314
Episode#216 Reward:-3.9998141825199127
Episode#217 Reward:-2.5894446187012363
Episode#218 Reward:-5.384793921024539
Episode#219 Reward:-3.5036867493763566
Episode#220 Reward:-2.713465246371925
Episode#221 Reward:-3.723370611667633
Episode#222 Reward:-2.9539680099114776
Episode#223 Reward:-3.5668373107910156
Episode#224 Reward:-3.6512865722179413
Episode#225 Reward:-2.1658663898706436
Episode#226 Reward:-3.044025205075741
Episode#227 Reward:-2.3964614868164062
Episode#228 Reward:-2.7312341928482056
Episode#229 Reward:-2.8442266276324517
Episode#230 Reward:-5.023587084375322
Episode#231 Reward:-2.2747705122455955
Episode#232 Reward:-4.283090425937189
Episode#233 Reward:-3.4486800115555525
Episode#234 Reward:-6.510062954301247
Episode#235 Reward:-6.02434349852706
Episode#236 Reward:-9.907816669310705
Episode#237 Reward:-4.218450184445828
Episode#238 Reward:-3.581415008753538
Episode#239 Reward:-2.7925706263631582
Episode#240 Reward:-5.5905789637618
Episode#241 Reward:-4.709178447723389
Episode#242 Reward:-3.4964323285294086
Episode#243 Reward:-4.214202197268605
Episode#244 Reward:-3.8767329156398773
Episode#245 Reward:-3.5455926656723022
Episode#246 Reward:-4.873930403962731
Episode#247 Reward:-4.951011441648006
Episode#248 Reward:-4.097881005844101
Episode#249 Reward:-4.3787603212799695
Episode#250 Reward:-3.5339412832325365
Episode#251 Reward:-3.4792490964755416
Episode#252 Reward:-4.038693592825439
Episode#253 Reward:-2.905215761071304
Episode#254 Reward:-3.5412173625081778
Episode#255 Reward:-5.142371736466885
Episode#256 Reward:-5.374750168994069
Episode#257 Reward:-3.4661697239905607
Episode#258 Reward:-3.752805834170431
Episode#259 Reward:-2.5493192503927276
Episode#260 Reward:-1.8144605192355812
Episode#261 Reward:-3.0675841867923737
Episode#262 Reward:-3.079191529424861
Episode#263 Reward:-2.3518459736951627
Episode#264 Reward:-4.595087490044534
Episode#265 Reward:-2.464058667421341
Episode#266 Reward:-3.690411988805863
Episode#267 Reward:-3.422610642417567
Episode#268 Reward:-3.7729436205409
Episode#269 Reward:-6.126334547996521
Episode#270 Reward:-3.3918863367289305
Episode#271 Reward:-5.45493180086487
Episode#272 Reward:-5.66775668784976
Episode#273 Reward:-5.170356333255768
Episode#274 Reward:-5.019905166234821
Episode#275 Reward:-6.325294211506844
Episode#276 Reward:-6.742185115814209
Episode#277 Reward:-3.7112784385681152
Episode#278 Reward:-4.114286661148071
Episode#279 Reward:-5.737897038459778
Episode#280 Reward:-4.357438325881958
Episode#281 Reward:-12.153939723968506
Episode#282 Reward:-3.2200175896286964
Episode#283 Reward:-7.635231971740723
Episode#284 Reward:-7.150014877319336
Episode#285 Reward:-7.011100426781923
Episode#286 Reward:-9.240197021104905
Episode#287 Reward:-6.19708861860272
Episode#288 Reward:-1.8163320794701576
Episode#289 Reward:-3.087973216548562
Episode#290 Reward:-2.9408537882191013
Episode#291 Reward:-4.556135745719075
Episode#292 Reward:-2.4626591922715306
Episode#293 Reward:-4.323725134134293
Episode#294 Reward:-3.0147037705173716
Episode#295 Reward:-2.7668989793455694
Episode#296 Reward:-3.297068123356439
Episode#297 Reward:-6.330521820113063
Episode#298 Reward:-2.0307901116248104
Episode#299 Reward:-5.180517673492432
Episode#300 Reward:-6.06516320258379
Episode#301 Reward:-5.165942192077637
Episode#302 Reward:-6.080079078674316
Episode#303 Reward:-3.5489548295736313
Episode#304 Reward:-3.4620827808976173
Episode#305 Reward:-2.880980968475342
Episode#306 Reward:-5.880253865674604
Episode#307 Reward:-4.222747802734375
Episode#308 Reward:-3.747336893924512
Episode#309 Reward:-4.927873235923471
Episode#310 Reward:-9.456067430321127
Episode#311 Reward:-4.965143536217511
Episode#312 Reward:-3.2628029570914805
Episode#313 Reward:-3.577207689639181
Episode#314 Reward:-4.655894756317139
Episode#315 Reward:-3.857919692993164
Episode#316 Reward:-6.777605309394403
Episode#317 Reward:-4.11878358758986
Episode#318 Reward:-5.4640266027417965
Episode#319 Reward:-2.483394593000412
Episode#320 Reward:-3.49432286596857
Episode#321 Reward:-3.9389126125824987
Episode#322 Reward:-1.582336850464344
Episode#323 Reward:-2.310916437592823
Episode#324 Reward:-4.901754856109619
Episode#325 Reward:-3.6306827664375305
Episode#326 Reward:-2.845899776555598
Episode#327 Reward:-3.4977898709475994
Episode#328 Reward:-3.9467308440648594
Episode#329 Reward:-4.390022665262222
Episode#330 Reward:-3.2248990274965763
Episode#331 Reward:-4.38619151590683
Episode#332 Reward:-4.505982875823975
Episode#333 Reward:-4.708331391215324
Episode#334 Reward:-2.3705219849944115
Episode#335 Reward:-3.1566171757876873
Episode#336 Reward:-6.40788141801022
Episode#337 Reward:-2.029060125350952
Episode#338 Reward:-5.060400270333048
Episode#339 Reward:-2.8385607483796775
Episode#340 Reward:-3.31100763566792
Episode#341 Reward:-4.278933639729075
Episode#342 Reward:-4.856734316796064
Episode#343 Reward:-2.6580651980038965
Episode#344 Reward:-4.022345418782606
Episode#345 Reward:-2.3569042237941176
Episode#346 Reward:-5.336401046019091
Episode#347 Reward:-4.869509097290575
Episode#348 Reward:-5.75361593067646
Episode#349 Reward:-4.195695161819458
Episode#350 Reward:-3.0917476089671254
Episode#351 Reward:-2.4367188215255737
Episode#352 Reward:-2.185168987342479
Episode#353 Reward:-3.825139094609767
Episode#354 Reward:-3.4620591551065445
Episode#355 Reward:-3.0449006240814924
Episode#356 Reward:-6.296210787259042
Episode#357 Reward:-1.4354318289551884
Episode#358 Reward:-5.462352168266079
Episode#359 Reward:-4.501102291047573
Episode#360 Reward:-5.2570130825042725
Episode#361 Reward:-7.227024555206299
Episode#362 Reward:-4.29461972694844
Episode#363 Reward:-5.6092106103897095
Episode#364 Reward:-3.3181148767471313
Episode#365 Reward:-2.2769347205758095
Episode#366 Reward:-3.9134625308761315
Episode#367 Reward:-2.2779988050460815
Episode#368 Reward:-2.9444251656532288
Episode#369 Reward:-3.9077713809674606
Episode#370 Reward:-3.26577864959836
Episode#371 Reward:-2.4129135608673096
Episode#372 Reward:-3.118545785546303
Episode#373 Reward:-3.3355513202259317
Episode#374 Reward:-4.311502972976086
Episode#375 Reward:-3.428563117980957
Episode#376 Reward:-2.768649864476174
Episode#377 Reward:-2.3735150285065174
Episode#378 Reward:-2.93451789021492
Episode#379 Reward:-3.3238319866359234
Episode#380 Reward:-1.9660490155220032
Episode#381 Reward:-4.219020530581474
Episode#382 Reward:-3.14702444888826
Episode#383 Reward:-3.444930040248437
Episode#384 Reward:-2.786161422729492
Episode#385 Reward:-2.0527606809919234
Episode#386 Reward:-4.540726380655542
Episode#387 Reward:-3.1304150457144715
Episode#388 Reward:-3.6443191478028893
Episode#389 Reward:-3.1783761978149414
Episode#390 Reward:-4.861962199211121
Episode#391 Reward:-4.604064464569092
Episode#392 Reward:-4.910242147845565
Episode#393 Reward:-3.318141910916893
Episode#394 Reward:-9.782816443716001
Episode#395 Reward:-12.08901092295855
Episode#396 Reward:-2.996926363208331
Episode#397 Reward:-4.248206269461662
Episode#398 Reward:-3.0984230563626625
Episode#399 Reward:-1.718966290645767
step = 400: loss = 0.0008032480254769325
Episode#400 Reward:-3.808301616460085
Episode#401 Reward:-2.603869453072548
Episode#402 Reward:-3.6798871669598157
Episode#403 Reward:-2.7103883400559425
Episode#404 Reward:-4.590902502648532
Episode#405 Reward:-3.427178854122758
Episode#406 Reward:-3.4242214411497116
Episode#407 Reward:-2.695628486573696
Episode#408 Reward:-3.892159312032163
Episode#409 Reward:-3.878378560359124
Episode#410 Reward:-2.618457132950425
Episode#411 Reward:-2.139348769094795
Episode#412 Reward:-4.592282102210447
Episode#413 Reward:-3.433895304275211
Episode#414 Reward:-4.509750843048096
Episode#415 Reward:-2.2321914611384273
Episode#416 Reward:-2.73198208984104
Episode#417 Reward:-4.2710970640182495
Episode#418 Reward:-2.325954169034958
Episode#419 Reward:-3.637857347726822
Episode#420 Reward:-2.0200093091843883
Episode#421 Reward:-4.162018894217908
Episode#422 Reward:-2.7872766446853348
Episode#423 Reward:-5.268127158284187
Episode#424 Reward:-4.5442224107682705
Episode#425 Reward:-3.99375057220459
Episode#426 Reward:-4.337379019641958
Episode#427 Reward:-2.7646591663360596
Episode#428 Reward:-3.6204675844637677
Episode#429 Reward:-2.719203342217952
Episode#430 Reward:-4.220002753915651
Episode#431 Reward:-4.888362887955736
Episode#432 Reward:-5.146446038474096
Episode#433 Reward:-1.656596276909113
Episode#434 Reward:-2.489943016465986
Episode#435 Reward:-2.6609381400048733
Episode#436 Reward:-2.6219070153310895
Episode#437 Reward:-3.3963422890228685
Episode#438 Reward:-3.2589298747479916
Episode#439 Reward:-4.322621351793998
Episode#440 Reward:-2.1248450583848353
Episode#441 Reward:-3.293963992036879
Episode#442 Reward:-2.599113951997424
Episode#443 Reward:-3.6184616913087666
Episode#444 Reward:-3.0514804124832153
Episode#445 Reward:-2.1340784982894547
Episode#446 Reward:-4.477598192170262
Episode#447 Reward:-2.7039292794652283
Episode#448 Reward:-3.0256523078423925
Episode#449 Reward:-3.7156961634755135
Episode#450 Reward:-3.648068316280842
Episode#451 Reward:-3.335799359716475
Episode#452 Reward:-4.187171922507332
Episode#453 Reward:-3.366455962881446
Episode#454 Reward:-3.9679787072818726
Episode#455 Reward:-4.803274858742952
Episode#456 Reward:-3.2841645642929507
Episode#457 Reward:-3.154738566314336
Episode#458 Reward:-2.795582875609398
Episode#459 Reward:-4.204355955123901
Episode#460 Reward:-4.7574562728405
Episode#461 Reward:-2.055070534348488
Episode#462 Reward:-2.6611645221710205
Episode#463 Reward:-3.4830468263535295
Episode#464 Reward:-4.68464657664299
Episode#465 Reward:-1.8576149940490723
Episode#466 Reward:-3.644935816526413
Episode#467 Reward:-2.5523507678881288
Episode#468 Reward:-2.8093238472938538
Episode#469 Reward:-2.4669825360178947
Episode#470 Reward:-2.0447177439928055
Episode#471 Reward:-3.06069374710205
Episode#472 Reward:-2.372451774775982
Episode#473 Reward:-3.782935008406639
Episode#474 Reward:-3.9129742465447634
Episode#475 Reward:-3.2059331834316254
Episode#476 Reward:-2.781976707279682
Episode#477 Reward:-4.158653408288956
Episode#478 Reward:-4.147419202956371
Episode#479 Reward:-1.5518943816423416
Episode#480 Reward:-3.588141232728958
Episode#481 Reward:-4.181958317756653
Episode#482 Reward:-3.3073025345802307
Episode#483 Reward:-2.8725069926586
Episode#484 Reward:-3.040818303823471
Episode#485 Reward:-3.032285465489281
Episode#486 Reward:-4.68212518962082
Episode#487 Reward:-3.159586191177368
Episode#488 Reward:-3.4053820963017642
Episode#489 Reward:-3.4095359025523067
Episode#490 Reward:-3.7963062586734964
Episode#491 Reward:-1.8636379586532712
Episode#492 Reward:-2.8300627768039703
Episode#493 Reward:-3.0747597217559814
Episode#494 Reward:-2.9614073783159256
Episode#495 Reward:-2.8961276412010193
Episode#496 Reward:-3.4289714694023132
Episode#497 Reward:-4.405035890638828
Episode#498 Reward:-3.281251072883606
Episode#499 Reward:-3.266405612222343
step = 500: Average Return = -6.655802395539979
Episode#500 Reward:-2.1925564890888722
Episode#501 Reward:-3.43653267621994
Episode#502 Reward:-3.306997379346285
Episode#503 Reward:-3.3972212374210358
Episode#504 Reward:-2.640212582291042
Episode#505 Reward:-4.643558725653861
Episode#506 Reward:-4.953303761780262
Episode#507 Reward:-3.423316563887056
Episode#508 Reward:-3.3093030501622707
Episode#509 Reward:-2.590953144186642
Episode#510 Reward:-2.1469467309943866
Episode#511 Reward:-2.7644538432359695
Episode#512 Reward:-1.784969225525856
Episode#513 Reward:-4.3935219049453735
Episode#514 Reward:-3.4910046458244324
Episode#515 Reward:-2.947383776307106
Episode#516 Reward:-5.838150284951553
Episode#517 Reward:-1.929054440377513
Episode#518 Reward:-4.296028956770897
Episode#519 Reward:-4.131966583430767
Episode#520 Reward:-2.418684352422133
Episode#521 Reward:-4.332456216216087
Episode#522 Reward:-4.454282393679023
Episode#523 Reward:-4.7515972084365785
Episode#524 Reward:-3.1295136334668996
Episode#525 Reward:-5.274134159088135
Episode#526 Reward:-2.1190310991532897
Episode#527 Reward:-4.013988268561661
Episode#528 Reward:-2.4390746345743537
Episode#529 Reward:-2.1481872373260558
Episode#530 Reward:-2.8469951152801514
Episode#531 Reward:-2.0142298908904195
Episode#532 Reward:-4.009178230152429
Episode#533 Reward:-4.398692032089457
Episode#534 Reward:-3.639499428216368
Episode#535 Reward:-2.4858441269025207
Episode#536 Reward:-3.877041133120656
Episode#537 Reward:-3.6810863316059113
Episode#538 Reward:-2.608699858188629
Episode#539 Reward:-2.0969671509228647
Episode#540 Reward:-3.1541880771983415
Episode#541 Reward:-2.302706077694893
Episode#542 Reward:-3.554329762235284
Episode#543 Reward:-5.077381635695929
Episode#544 Reward:-3.7425994649529457
Episode#545 Reward:-3.223891556104377
Episode#546 Reward:-2.451467572245747
Episode#547 Reward:-3.4342867136001587
Episode#548 Reward:-6.133502244949341
Episode#549 Reward:-3.6632763128727674
Episode#550 Reward:-3.1603207925800234
Episode#551 Reward:-2.365289628505707
Episode#552 Reward:-2.885180707788095
Episode#553 Reward:-3.2342193833901547
Episode#554 Reward:-5.311522483825684
Episode#555 Reward:-8.275795873866628
Episode#556 Reward:-2.689073085784912
Episode#557 Reward:-3.3917187731713057
Episode#558 Reward:-1.8170581236481667
Episode#559 Reward:-4.345775842666626
Episode#560 Reward:-3.1457003075629473
Episode#561 Reward:-3.1539622608106583
Episode#562 Reward:-3.147468311712146
Episode#563 Reward:-2.537564582657069
Episode#564 Reward:-4.387303590774536
Episode#565 Reward:-2.3417277336120605
Episode#566 Reward:-3.626773715019226
Episode#567 Reward:-3.8871207237243652
Episode#568 Reward:-3.3974466621875763
Episode#569 Reward:-4.021237820386887
Episode#570 Reward:-4.676773344981484
Episode#571 Reward:-3.113649683073163
Episode#572 Reward:-2.9353482406145304
Episode#573 Reward:-2.6939680576324463
Episode#574 Reward:-2.285147152841091
Episode#575 Reward:-2.3873101510107517
Episode#576 Reward:-2.9965161764994264
Episode#577 Reward:-3.905155351385474
Episode#578 Reward:-2.3681760816834867
Episode#579 Reward:-2.9415226532146335
Episode#580 Reward:-3.3826100881415186
Episode#581 Reward:-4.576904581859708
Episode#582 Reward:-2.2002604440785944
Episode#583 Reward:-4.513346448540688
Episode#584 Reward:-3.0829053786583245
Episode#585 Reward:-2.573217783588916
Episode#586 Reward:-2.9018413051962852
Episode#587 Reward:-7.17977342067752
Episode#588 Reward:-2.9451874317601323
Episode#589 Reward:-3.5022221580147743
Episode#590 Reward:-2.551350399851799
Episode#591 Reward:-2.7997386576607823
Episode#592 Reward:-2.5183412196929567
Episode#593 Reward:-4.442873942665756
Episode#594 Reward:-3.199173908069497
Episode#595 Reward:-4.1050113551318645
Episode#596 Reward:-3.2840311483014375
Episode#597 Reward:-3.7466230168938637
Episode#598 Reward:-4.125227387994528
Episode#599 Reward:-4.691161611583084
step = 600: loss = 0.0008655012352392077
Episode#600 Reward:-2.756146407511551
Episode#601 Reward:-3.260577961074887
Episode#602 Reward:-2.1176714301109314
Episode#603 Reward:-2.468720727134496
Episode#604 Reward:-3.493964284658432
Episode#605 Reward:-2.5009229481220245
Episode#606 Reward:-3.865617468371056
Episode#607 Reward:-4.363749146461487
Episode#608 Reward:-2.7067034170322586
Episode#609 Reward:-2.9156888872385025
Episode#610 Reward:-2.5877547413110733
Episode#611 Reward:-5.054904335262563
Episode#612 Reward:-3.3643323347205296
Episode#613 Reward:-5.137796891562175
Episode#614 Reward:-5.225395308472287
Episode#615 Reward:-2.3559584617614746
Episode#616 Reward:-4.429521226324141
Episode#617 Reward:-2.6521785971708596
Episode#618 Reward:-2.98093294352293
Episode#619 Reward:-2.191946831298992
Episode#620 Reward:-3.711262993514538
Episode#621 Reward:-2.1432413641612698
Episode#622 Reward:-3.86006034410093
Episode#623 Reward:-4.487784557044506
Episode#624 Reward:-3.188181249250192
Episode#625 Reward:-2.260723913554102
Episode#626 Reward:-4.006010264158249
Episode#627 Reward:-5.4682077039033175
Episode#628 Reward:-1.8140339646488428
Episode#629 Reward:-3.53798770904541
Episode#630 Reward:-3.0068912617862225
Episode#631 Reward:-2.381199385970831
Episode#632 Reward:-2.787753150332719
Episode#633 Reward:-3.944036078173667
